Height,Weight,Age,Gender,Activity,Diet,Health Goal,Breakfast,B_Calories,B_Carbs,B_Protein,B_Fats,Lunch,L_Calories,L_Carbs,L_Protein,L_Fats,Dinner,D_Calories,D_Carbs,D_Protein,D_Fats
185,95,18,Female,Sedentary,Non-Vegetarian,Weight Loss,Millet Pongal & Tomato Chutney + Kiwi,310,50,12,5,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Rajma Masala & Bajra Roti + Mango,490,80,21,11
172,86,28,Male,Lightly Active,Non-Vegetarian,Weight Loss,Fish Tawa Fry & Red Rice Idiyappam + Banana,360,53,21,8,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Grilled Fish & Millet Roti + Sprout Salad,550,76,30,14
180,56,43,Male,Moderately Active,Non-Vegetarian,Muscle Gain,Chicken Keema Dosa & Mint Chutney + Kiwi,360,50,18,8,Fish Fry & Millet Rice + Pomegranate,620,90,30,16,Kothu Parotta & Mutton Gravy + Cabbage Poriyal,710,90,38,22
181,93,36,Female,Very Active,Non-Vegetarian,Weight Loss,Fish Cutlet & Ragi Idli + Banana,350,53,19,8,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
165,64,33,Male,Very Active,Vegetarian,Muscle Gain,Barnyard Millet Upma & Coconut Chutney + Dates,300,54,8,5,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Tomato Kurma & Whole Wheat Roti + Carrot Raita,460,75,18,9
167,74,25,Female,Very Active,Non-Vegetarian,Weight Loss,Beetroot Dosa & Peanut Chutney + Pineapple,340,56,14,7,Vegetable Biryani & Raita + Guava,580,88,20,14,Pumpkin Rasam & Quinoa + Pomegranate,470,70,20,8
178,63,60,Male,Sedentary,Vegetarian,Maintain,Vegetable Semiya & Peanut Chutney + Mango,300,54,8,5,Carrot Kurma & Whole Wheat Roti + Almonds,510,80,18,9,Carrot & Capsicum Stir Fry & Millet Roti + Watermelon,450,74,18,9
179,87,34,Male,Sedentary,Vegetarian,Maintain,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Cabbage Thoran & Rice + Pineapple,530,85,18,10,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Mango,470,76,20,10
163,52,25,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Multi-Grain Adai & Coconut Chutney + Mango,310,53,13,5,Spinach Dal & Jowar Roti + Mango,520,80,18,10,Rajma Masala & Bajra Roti + Mango,490,80,21,11
179,70,43,Female,Sedentary,Vegetarian,Muscle Gain,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Drumstick Sambar & Ragi Mudde + Muskmelon,550,90,22,12,Chapati & Dal Fry + Cucumber Raita,430,72,18,9
166,72,39,Male,Very Active,Non-Vegetarian,Maintain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Chicken Sukka & Millet Roti + Buttermilk,630,90,35,18
181,97,24,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Egg Pepper Masala & Millet Roti + Papaya,590,85,32,15
177,93,44,Female,Moderately Active,Vegetarian,Maintain,Idli & Sambar + Banana,280,50,10,2,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Beetroot Poriyal & Chapati + Almonds,480,78,19,10
160,59,58,Male,Very Active,Vegetarian,Weight Loss,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Mixed Veg Kurma & Bajra Roti + Cucumber Raita,520,85,17,11,Tomato Kurma & Whole Wheat Roti + Carrot Raita,460,75,18,9
162,59,33,Male,Very Active,Vegetarian,Maintain,Beetroot Dosa & Peanut Chutney + Pineapple,340,56,14,7,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Pumpkin Rasam & Quinoa + Pomegranate,470,70,20,8
154,54,28,Female,Very Active,Vegetarian,Maintain,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Adai & Avial + Mixed Fruit Salad,490,75,22,10
177,93,34,Male,Moderately Active,Vegetarian,Maintain,Ragi Porridge & Almonds + Orange,280,50,10,4,Sambar Rice & Curd + Cucumber Salad,550,85,18,12,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
187,85,40,Female,Moderately Active,Non-Vegetarian,Maintain,Barnyard Millet Pongal & Peanut Chutney + Pomegranate,310,54,13,5,Rajma Curry & Brown Rice + Mango,540,82,20,12,Chicken Stew & Appam + Cabbage Poriyal,610,85,35,16
170,53,23,Female,Very Active,Non-Vegetarian,Weight Loss,Jackfruit Idli & Peanut Chutney + Muskmelon,320,53,12,6,Prawn Masala & Brown Rice + Carrot Raita,640,88,28,16,Green Gram Sundal & Chapati + Banana,460,75,19,9
183,83,38,Male,Sedentary,Vegetarian,Maintain,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
182,62,29,Male,Lightly Active,Non-Vegetarian,Weight Loss,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Rajma Curry & Brown Rice + Mango,540,82,20,12,Prawn Masala & Red Rice + Guava,640,92,34,18
182,67,44,Male,Sedentary,Non-Vegetarian,Weight Loss,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Mutton Keema & Ragi Chapati + Buttermilk,730,98,41,22,Egg Podimas & Jeera Rice + Spinach Salad,550,80,28,14
159,84,55,Female,Sedentary,Vegetarian,Maintain,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
167,80,57,Male,Moderately Active,Vegetarian,Muscle Gain,Beetroot Dosa & Peanut Chutney + Pineapple,340,56,14,7,Pumpkin Kootu & Chapati + Banana,500,75,16,8,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
150,62,45,Male,Sedentary,Vegetarian,Maintain,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Beans Poriyal & Chapati + Mango Raita,500,78,17,10,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
159,86,45,Female,Very Active,Non-Vegetarian,Muscle Gain,Idli & Sambar + Banana,280,50,10,2,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Grilled Fish & Millet Roti + Sprout Salad,550,76,30,14
154,69,51,Male,Moderately Active,Vegetarian,Muscle Gain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Palak Paneer & Chapati + Guava,490,80,22,12
180,87,33,Female,Sedentary,Non-Vegetarian,Maintain,Soya Dosa & Mint Chutney + Papaya,350,60,15,8,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Beetroot Poriyal & Chapati + Almonds,480,78,19,10
190,56,28,Male,Very Active,Vegetarian,Muscle Gain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
171,82,30,Female,Very Active,Non-Vegetarian,Maintain,Egg Dosa & Mint Chutney + Apple,360,50,15,7,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Ragi Roti & Keerai Masiyal + Dates,460,70,18,9
159,58,57,Male,Sedentary,Non-Vegetarian,Muscle Gain,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
186,90,42,Female,Lightly Active,Non-Vegetarian,Maintain,Idli & Sambar + Banana,280,50,10,2,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Palak Paneer & Chapati + Guava,490,80,22,12
175,51,42,Male,Very Active,Non-Vegetarian,Weight Loss,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Kothu Parotta & Mutton Gravy + Cabbage Poriyal,710,90,38,22
167,71,25,Female,Sedentary,Non-Vegetarian,Maintain,Multi-Grain Adai & Coconut Chutney + Mango,310,53,13,5,Egg Biryani & Onion Raita + Curd,610,90,32,16,Green Gram Sundal & Chapati + Banana,460,75,19,9
170,100,30,Male,Moderately Active,Non-Vegetarian,Weight Loss,Egg Dosa & Mint Chutney + Apple,360,50,15,7,Peerkangai (Ridge Gourd) Kootu & Red Rice + Banana,520,82,18,10,Egg Curry & Rice + Tomato Soup,520,80,25,12
164,82,21,Male,Very Active,Vegetarian,Maintain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
186,91,30,Female,Sedentary,Vegetarian,Weight Loss,Idli & Sambar + Banana,280,50,10,2,Channa Dal Curry & Bajra Roti + Pomegranate,530,83,18,11,Green Gram Sundal & Chapati + Banana,460,75,19,9
186,88,21,Female,Very Active,Vegetarian,Weight Loss,Thinai (Foxtail Millet) Idli & Tomato Chutney + Dates,330,55,12,6,Brinjal Kootu & Red Rice + Curd,540,85,20,11,Adai & Avial + Mixed Fruit Salad,490,75,22,10
165,67,32,Male,Very Active,Non-Vegetarian,Weight Loss,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Egg Biryani & Onion Raita + Curd,610,90,32,16,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
164,84,43,Male,Sedentary,Vegetarian,Maintain,Barnyard Millet Upma & Coconut Chutney + Dates,300,54,8,5,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Rajma Masala & Bajra Roti + Curd,500,82,23,13
154,58,59,Female,Very Active,Non-Vegetarian,Maintain,Egg Appam & Coconut Stew + Muskmelon,340,54,15,7,Carrot Kurma & Whole Wheat Roti + Almonds,510,80,18,9,Grilled Fish & Jeera Rice + Curd,630,92,34,18
165,77,58,Female,Lightly Active,Non-Vegetarian,Weight Loss,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Chicken Curry & Lemon Rice + Spinach Stir Fry,650,96,35,18
175,100,58,Male,Moderately Active,Vegetarian,Weight Loss,Dosa & Coconut Chutney + Orange,320,55,8,5,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Buttermilk,540,88,20,12,Curd Rice & Pomegranate + Almonds,450,74,17,10
177,69,37,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Kanchipuram Idli & Garlic Chutney + Pomegranate,340,55,10,7,Brinjal Kootu & Red Rice + Curd,540,85,20,11,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
160,100,37,Male,Lightly Active,Vegetarian,Muscle Gain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Palak Paneer & Chapati + Guava,490,80,22,12
165,95,44,Male,Moderately Active,Non-Vegetarian,Muscle Gain,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Egg Biryani & Onion Raita + Curd,610,90,32,16,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
177,55,24,Male,Lightly Active,Vegetarian,Weight Loss,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Adai & Avial + Mixed Fruit Salad,490,75,22,10
155,79,40,Female,Sedentary,Non-Vegetarian,Weight Loss,Methi Thepla & Yogurt + Guava,340,58,14,7,Fish Fry & Millet Rice + Pomegranate,620,90,30,16,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
183,77,54,Male,Sedentary,Vegetarian,Muscle Gain,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
185,94,44,Male,Sedentary,Vegetarian,Weight Loss,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Adai & Avial + Mixed Fruit Salad,490,75,22,10
189,99,52,Female,Very Active,Vegetarian,Weight Loss,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
163,69,40,Female,Sedentary,Non-Vegetarian,Maintain,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Grilled Fish & Steamed Rice + Tomato Salad,620,84,28,15,Egg Bhurji & Chapati + Watermelon,570,88,30,16
166,100,58,Male,Sedentary,Non-Vegetarian,Weight Loss,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Fish Curry & Red Rice + Beetroot Salad,620,85,30,15,Channa Dal Curry & Jowar Roti + Pomegranate,470,78,20,10
168,94,26,Male,Sedentary,Vegetarian,Muscle Gain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Adai & Avial + Mixed Fruit Salad,490,75,22,10
173,85,32,Female,Very Active,Non-Vegetarian,Maintain,Ragi Porridge & Almonds + Chikku,290,48,10,4,Mutton Kurma & Ghee Rice + Spinach Stir Fry,720,96,40,22,Rajma Masala & Bajra Roti + Mango,490,80,21,11
173,86,43,Female,Lightly Active,Vegetarian,Muscle Gain,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Beetroot Poriyal & Chapati + Almonds,480,78,19,10
188,84,50,Male,Lightly Active,Vegetarian,Muscle Gain,Millet Pongal & Tomato Chutney + Kiwi,310,50,12,5,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
189,52,60,Female,Sedentary,Vegetarian,Weight Loss,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Rajma Masala & Bajra Roti + Mango,490,80,21,11
179,81,47,Female,Very Active,Non-Vegetarian,Maintain,Chicken Stuffed Dosa & Mint Chutney + Mango,370,55,20,9,Coconut Dal & Ragi Roti + Dates,530,82,18,10,Grilled Fish & Millet Roti + Sprout Salad,550,76,30,14
186,81,31,Male,Moderately Active,Vegetarian,Maintain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Cabbage Thoran & Rice + Pineapple,530,85,18,10,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
179,56,53,Female,Very Active,Vegetarian,Weight Loss,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Vegetable Kurma & Bajra Roti + Buttermilk,460,75,22,10
157,84,23,Female,Sedentary,Non-Vegetarian,Weight Loss,Rava Idli & Coriander Chutney + Fig,330,58,10,6,Vegetable Kurma & Coconut Rice + Boiled Sweet Potato,550,88,18,13,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
190,62,26,Male,Lightly Active,Non-Vegetarian,Maintain,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
176,95,49,Male,Very Active,Non-Vegetarian,Weight Loss,Spicy Tuna Cutlet & Lemon Rice + Kiwi,390,60,25,11,Egg Pepper Fry & Lemon Rice + Spinach Salad,640,92,34,18,Chicken Curry & Lemon Rice + Spinach Stir Fry,650,96,35,18
170,95,52,Male,Very Active,Vegetarian,Weight Loss,Millet Pongal & Tomato Chutney + Kiwi,310,50,12,5,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Beetroot Poriyal & Chapati + Almonds,480,78,19,10
158,59,44,Male,Lightly Active,Non-Vegetarian,Weight Loss,Ragi Idli & Avocado Chutney + Papaya,310,52,11,5,Coconut Dal & Ragi Roti + Dates,530,82,18,10,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
173,72,43,Male,Very Active,Vegetarian,Maintain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Mixed Veg Kurma & Bajra Roti + Cucumber Raita,520,85,17,11,Green Gram Sundal & Chapati + Banana,460,75,19,9
150,95,30,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Millet Pongal & Tomato Chutney + Kiwi,310,50,12,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
168,60,19,Female,Moderately Active,Non-Vegetarian,Maintain,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Egg Biryani & Onion Raita + Curd,610,90,32,16,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
167,98,38,Female,Moderately Active,Vegetarian,Weight Loss,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Mango,470,76,20,10
176,91,28,Male,Sedentary,Vegetarian,Weight Loss,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Vegetable Uttapam & Mint Chutney + Banana,400,68,15,8
168,70,22,Female,Sedentary,Vegetarian,Maintain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Paneer Bhurji & Whole Wheat Roti + Mango,540,88,21,12,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
169,85,25,Male,Lightly Active,Non-Vegetarian,Maintain,Soya Dosa & Mint Chutney + Papaya,350,60,15,8,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Paneer Bhurji & Whole Wheat Roti + Fig,520,85,25,12
186,60,57,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Beetroot Dosa & Peanut Chutney + Pineapple,340,56,14,7,Egg Masala & Ghee Rice + Carrot Raita,610,90,26,16,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
166,52,32,Female,Sedentary,Vegetarian,Muscle Gain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Drumstick Sambar & Ragi Mudde + Muskmelon,550,90,22,12,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
165,79,54,Female,Very Active,Vegetarian,Maintain,Ragi Porridge & Almonds + Orange,280,50,10,4,Spinach Dal & Jowar Roti + Mango,520,80,18,10,Vegetable Uttapam & Mint Chutney + Banana,400,68,15,8
162,61,33,Female,Sedentary,Vegetarian,Weight Loss,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
151,66,30,Female,Very Active,Vegetarian,Muscle Gain,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Paneer Bhurji & Whole Wheat Roti + Mango,540,88,21,12,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
181,88,53,Male,Moderately Active,Non-Vegetarian,Maintain,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Green Peas Masala & Jeera Rice + Cucumber Salad,520,82,17,10,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
190,71,34,Female,Sedentary,Vegetarian,Muscle Gain,Vegetable Semiya & Peanut Chutney + Mango,300,54,8,5,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
184,67,26,Female,Sedentary,Non-Vegetarian,Muscle Gain,Spicy Tuna Cutlet & Lemon Rice + Kiwi,390,60,25,11,Tandoori Chicken & Whole Wheat Roti + Cucumber Salad,700,100,40,22,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
160,92,24,Male,Very Active,Non-Vegetarian,Weight Loss,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Paneer Bhurji & Whole Wheat Roti + Mango,540,88,21,12,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
184,64,43,Female,Moderately Active,Vegetarian,Maintain,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Drumstick Sambar & Ragi Mudde + Muskmelon,550,90,22,12,Brinjal Gothsu & Millets + Apple,470,70,20,8
183,56,23,Female,Very Active,Vegetarian,Maintain,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Green Peas Masala & Jeera Rice + Cucumber Salad,520,82,17,10,Curd Rice & Pomegranate + Almonds,450,74,17,10
161,52,60,Male,Moderately Active,Vegetarian,Weight Loss,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
152,58,20,Female,Moderately Active,Vegetarian,Maintain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
155,59,34,Male,Moderately Active,Vegetarian,Maintain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Cabbage Thoran & Rice + Pineapple,530,85,18,10,Adai & Avial + Mixed Fruit Salad,490,75,22,10
186,93,24,Female,Moderately Active,Vegetarian,Maintain,Kanchipuram Idli & Garlic Chutney + Pomegranate,340,55,10,7,Rajma Sundal & Coconut Rice + Muskmelon,540,87,20,12,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
190,100,54,Female,Lightly Active,Non-Vegetarian,Maintain,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Fish Fry & Millet Rice + Pomegranate,620,90,30,16,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
182,63,58,Male,Very Active,Non-Vegetarian,Maintain,Mutton Kheema Dosa & Onion Chutney + Dates,380,56,23,10,Fish Curry & Red Rice + Beetroot Salad,620,85,30,15,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
177,76,46,Female,Moderately Active,Non-Vegetarian,Maintain,Kuzhi Paniyaram & Green Chutney + Whole Eggs,320,52,9,5,Coconut Dal & Ragi Roti + Dates,530,82,18,10,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
152,65,55,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Flaxseed Adai & Tomato Chutney + Banana,310,52,11,5,Egg Biryani & Onion Raita + Curd,610,90,32,16,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
173,93,37,Male,Sedentary,Non-Vegetarian,Muscle Gain,Ragi Porridge & Almonds + Orange,280,50,10,4,Rajma Sundal & Coconut Rice + Muskmelon,540,87,20,12,Egg Podimas & Jeera Rice + Spinach Salad,550,80,28,14
175,89,55,Female,Very Active,Non-Vegetarian,Muscle Gain,Red Rice Idli & Green Chutney + Fig,320,54,11,6,Egg Masala & Ghee Rice + Carrot Raita,610,90,26,16,Vegetable Kurma & Bajra Roti + Buttermilk,460,75,22,10
173,78,30,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Beans Poriyal & Chapati + Mango Raita,500,78,17,10,Grilled Fish & Jeera Rice + Curd,630,92,34,18
190,50,27,Female,Sedentary,Vegetarian,Weight Loss,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Paneer Bhurji & Whole Wheat Roti + Mango,540,88,21,12,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
154,91,29,Female,Moderately Active,Non-Vegetarian,Weight Loss,Egg Curry & Chapati + Papaya,350,50,18,7,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Green Gram Sundal & Chapati + Banana,460,75,19,9
177,63,21,Female,Lightly Active,Non-Vegetarian,Maintain,Egg Appam & Coconut Stew + Muskmelon,340,54,15,7,Prawn Sukka & Coconut Rice + Tomato Soup,640,92,34,18,Paneer Bhurji & Whole Wheat Roti + Fig,520,85,25,12
153,82,31,Male,Sedentary,Vegetarian,Weight Loss,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
187,96,24,Male,Sedentary,Vegetarian,Weight Loss,Red Rice Idli & Green Chutney + Fig,320,54,11,6,Sambar Rice & Curd + Cucumber Salad,550,85,18,12,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Mango,470,76,20,10
160,59,50,Male,Very Active,Non-Vegetarian,Muscle Gain,Ragi Porridge & Almonds + Chikku,290,48,10,4,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Mutton Keema Curry & Parotta + Buttermilk,750,100,42,24
151,99,33,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Egg Dosa & Mint Chutney + Apple,360,50,15,7,Green Peas Masala & Jeera Rice + Cucumber Salad,520,82,17,10,Pumpkin Rasam & Quinoa + Pomegranate,470,70,20,8
169,68,28,Female,Lightly Active,Non-Vegetarian,Maintain,Egg Bhurji & Bajra Roti + Almonds,370,55,22,9,Vegetable Kurma & Coconut Rice + Boiled Sweet Potato,550,88,18,13,Brinjal Rasavangi & Red Rice + Cucumber Salad,480,78,21,11
166,70,20,Female,Lightly Active,Non-Vegetarian,Maintain,Vegetable Semiya & Peanut Chutney + Mango,300,54,8,5,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
166,53,40,Male,Very Active,Vegetarian,Muscle Gain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Ragi Roti & Keerai Masiyal + Dates,460,70,18,9
150,50,56,Female,Lightly Active,Vegetarian,Maintain,Dosa & Coconut Chutney + Orange,320,55,8,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
190,66,26,Female,Lightly Active,Vegetarian,Muscle Gain,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
155,90,53,Male,Lightly Active,Vegetarian,Maintain,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Kootu Curry & Red Rice + Pomegranate,530,82,18,10,Pumpkin Rasam & Quinoa + Pomegranate,470,70,20,8
162,63,48,Female,Sedentary,Vegetarian,Maintain,Barnyard Millet Upma & Coconut Chutney + Dates,300,54,8,5,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Tomato Kurma & Whole Wheat Roti + Carrot Raita,460,75,18,9
190,78,60,Female,Lightly Active,Non-Vegetarian,Weight Loss,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
165,59,41,Male,Very Active,Vegetarian,Muscle Gain,Ragi Idli & Avocado Chutney + Papaya,310,52,11,5,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
